Price,Address,Beds,Baths,Sqft,URL
$695000,6315 N El Capitan Way Las Vegas NV 89149,5,4,3544,https://www.redfin.com/NV/Las-Vegas/6315-N-El-Capitan-Way-89149/home/29096284
$799995,9008 Rolling Pietra St Las Vegas NV 89166,5,4.5,3272,https://www.redfin.com/NV/Las-Vegas/9008-Rolling-Pietra-St-89166/home/179980766
$847995,10197 Bismarck Palms Ave Las Vegas NV 89166,5,4.5,3259,https://www.redfin.com/NV/Las-Vegas/10197-Bismarck-Palms-Ave-89166/home/177117875
N/A,N/A,N/A,N/A,N/A,N/A
$609999,7861 Bitterroot Peak Dr Las Vegas NV 89113,5,3.5,3057,https://www.redfin.com/NV/Las-Vegas/7861-Bitterroot-Peak-Dr-89113/home/109632951
$770000,8741 Castle Hill Ave Las Vegas NV 89129,5,3,4643,https://www.redfin.com/NV/Las-Vegas/8741-Castle-Hill-Ave-89129/home/29124943
$899000,1407 Fields St Las Vegas NV 89142,5,4,3457,https://www.redfin.com/NV/Las-Vegas/1407-Fields-St-89142/home/29399755
$488000,11997 Camden Brook St Las Vegas NV 89183,5,3,1934,https://www.redfin.com/NV/Las-Vegas/11997-Camden-Brook-St-89183/home/29057647
$925000,7717 Tinted Mesa Ct Las Vegas NV 89149,5,3,3135,https://www.redfin.com/NV/Las-Vegas/7717-Tinted-Mesa-Ct-89149/home/29098341
$429992,2005 Wengert Ave Las Vegas NV 89104,5,2,1745,https://www.redfin.com/NV/Las-Vegas/2005-Wengert-Ave-89104/home/29453125
$749000,7156 Pine Bridge Ct Las Vegas NV 89148,5,3.5,3212,https://www.redfin.com/NV/Las-Vegas/7156-Pine-Bridge-Ct-89148/home/109872114
$665000,7776 Spindrift Cove St Las Vegas NV 89139,5,3,3314,https://www.redfin.com/NV/Las-Vegas/7776-Spindrift-Cove-St-89139/home/29834481
$657000,2633 Ohio Ct Las Vegas NV 89128,5,3,3157,https://www.redfin.com/NV/Las-Vegas/2633-Ohio-Ct-89128/home/29146019
$549000,7224 Bellavia Ave Las Vegas NV 89113,5,3,2471,https://www.redfin.com/NV/Las-Vegas/7224-Bellavia-Ave-89113/home/167746595
$549369,10163 Kings Amethyst St Las Vegas NV 89141,5,3,2481,https://www.redfin.com/NV/Las-Vegas/10163-Kings-Amethyst-St-89141/home/177332228
$899000,8826 Arroyo Azul St Las Vegas NV 89131,5,3.5,3935,https://www.redfin.com/NV/Las-Vegas/8826-Arroyo-Azul-St-89131/home/29006196
